Epoch,Train Acc,Val Acc,Train Loss, Val Loss
1, 0.533, 0.684, 0.682, 0.642
2, 0.646, 0.731, 0.630, 0.577
3, 0.708, 0.751, 0.571, 0.544
4, 0.739, 0.772, 0.538, 0.508
5, 0.758, 0.771, 0.511, 0.499
6, 0.772, 0.798, 0.486, 0.460
7, 0.791, 0.822, 0.467, 0.442
8, 0.803, 0.814, 0.451, 0.435
9, 0.818, 0.829, 0.422, 0.401
10, 0.833, 0.814, 0.388, 0.410
11, 0.826, 0.854, 0.406, 0.372
12, 0.833, 0.859, 0.387, 0.352
13, 0.841, 0.872, 0.367, 0.341
14, 0.846, 0.807, 0.357, 0.441
15, 0.840, 0.846, 0.370, 0.358
16, 0.854, 0.866, 0.351, 0.340
17, 0.850, 0.880, 0.351, 0.322
18, 0.851, 0.876, 0.349, 0.317
19, 0.859, 0.880, 0.335, 0.310
20, 0.859, 0.872, 0.330, 0.329
21, 0.844, 0.883, 0.359, 0.304
22, 0.871, 0.861, 0.311, 0.339
23, 0.859, 0.867, 0.324, 0.328
24, 0.852, 0.880, 0.338, 0.314
25, 0.866, 0.894, 0.323, 0.287
26, 0.861, 0.892, 0.322, 0.292
27, 0.870, 0.881, 0.317, 0.292
28, 0.864, 0.848, 0.318, 0.355
29, 0.872, 0.892, 0.314, 0.281
30, 0.876, 0.882, 0.302, 0.297
31, 0.860, 0.897, 0.334, 0.274
32, 0.879, 0.890, 0.293, 0.286
33, 0.878, 0.875, 0.301, 0.307
34, 0.866, 0.871, 0.313, 0.327
35, 0.867, 0.889, 0.317, 0.286
36, 0.875, 0.886, 0.298, 0.288
37, 0.869, 0.897, 0.308, 0.267
38, 0.875, 0.869, 0.298, 0.312
39, 0.862, 0.903, 0.308, 0.259
40, 0.874, 0.886, 0.296, 0.303
41, 0.888, 0.907, 0.277, 0.253
42, 0.883, 0.904, 0.285, 0.252
43, 0.870, 0.901, 0.302, 0.259
44, 0.888, 0.900, 0.274, 0.252
45, 0.877, 0.910, 0.299, 0.255
46, 0.893, 0.900, 0.260, 0.253
47, 0.889, 0.905, 0.278, 0.260
48, 0.886, 0.900, 0.278, 0.256
49, 0.880, 0.882, 0.288, 0.301
50, 0.886, 0.906, 0.284, 0.258
51, 0.883, 0.874, 0.279, 0.313
52, 0.883, 0.907, 0.284, 0.243
53, 0.899, 0.897, 0.266, 0.257
54, 0.882, 0.872, 0.285, 0.311
55, 0.887, 0.894, 0.265, 0.273
56, 0.895, 0.914, 0.263, 0.231
57, 0.887, 0.899, 0.275, 0.250
58, 0.890, 0.913, 0.269, 0.230
59, 0.887, 0.907, 0.267, 0.242
60, 0.886, 0.903, 0.271, 0.243
61, 0.896, 0.911, 0.254, 0.237
62, 0.889, 0.913, 0.271, 0.224
63, 0.886, 0.901, 0.262, 0.264
64, 0.888, 0.907, 0.271, 0.230
65, 0.900, 0.907, 0.254, 0.237
66, 0.886, 0.910, 0.279, 0.231
67, 0.899, 0.919, 0.254, 0.220
68, 0.899, 0.911, 0.247, 0.230
69, 0.890, 0.911, 0.273, 0.243
70, 0.903, 0.916, 0.237, 0.233
71, 0.896, 0.912, 0.256, 0.240
72, 0.902, 0.918, 0.254, 0.217
73, 0.898, 0.917, 0.253, 0.213
74, 0.895, 0.921, 0.254, 0.210
75, 0.902, 0.919, 0.246, 0.217
76, 0.902, 0.925, 0.254, 0.208
77, 0.897, 0.924, 0.251, 0.223
78, 0.903, 0.922, 0.247, 0.224
79, 0.898, 0.922, 0.249, 0.214
80, 0.897, 0.924, 0.264, 0.211
81, 0.895, 0.926, 0.254, 0.209
82, 0.903, 0.919, 0.249, 0.210
83, 0.888, 0.922, 0.268, 0.226
84, 0.905, 0.928, 0.242, 0.207
85, 0.900, 0.913, 0.246, 0.241
86, 0.897, 0.924, 0.251, 0.205
87, 0.905, 0.924, 0.239, 0.208
88, 0.903, 0.931, 0.241, 0.200
89, 0.900, 0.922, 0.241, 0.206
90, 0.909, 0.922, 0.239, 0.204
91, 0.905, 0.922, 0.240, 0.201
92, 0.900, 0.927, 0.248, 0.197
93, 0.896, 0.924, 0.251, 0.213
94, 0.903, 0.909, 0.240, 0.241
95, 0.904, 0.883, 0.248, 0.286
96, 0.907, 0.924, 0.231, 0.217
97, 0.910, 0.926, 0.242, 0.211
98, 0.906, 0.932, 0.234, 0.198
99, 0.897, 0.932, 0.245, 0.196
100, 0.902, 0.919, 0.238, 0.205
101, 0.907, 0.926, 0.238, 0.213
102, 0.903, 0.929, 0.230, 0.204
103, 0.904, 0.933, 0.233, 0.208
104, 0.914, 0.932, 0.213, 0.182
105, 0.910, 0.924, 0.228, 0.211
106, 0.912, 0.938, 0.228, 0.191
107, 0.900, 0.927, 0.247, 0.204
108, 0.910, 0.936, 0.226, 0.184
109, 0.909, 0.935, 0.231, 0.197
110, 0.913, 0.931, 0.223, 0.194
111, 0.903, 0.922, 0.229, 0.229
112, 0.909, 0.935, 0.222, 0.182
113, 0.907, 0.927, 0.242, 0.214
114, 0.910, 0.939, 0.224, 0.182
115, 0.913, 0.939, 0.218, 0.184
116, 0.909, 0.937, 0.231, 0.185
117, 0.913, 0.936, 0.216, 0.190
118, 0.906, 0.937, 0.236, 0.180
119, 0.906, 0.933, 0.238, 0.192
120, 0.913, 0.935, 0.221, 0.192
121, 0.909, 0.936, 0.223, 0.184
122, 0.919, 0.923, 0.206, 0.216
123, 0.914, 0.932, 0.221, 0.185
124, 0.920, 0.941, 0.213, 0.188
125, 0.908, 0.939, 0.234, 0.184
126, 0.902, 0.934, 0.232, 0.184
127, 0.914, 0.942, 0.218, 0.180
128, 0.902, 0.930, 0.230, 0.198
129, 0.917, 0.940, 0.214, 0.180
130, 0.926, 0.942, 0.200, 0.178
131, 0.912, 0.939, 0.227, 0.178
132, 0.911, 0.932, 0.223, 0.205
133, 0.921, 0.939, 0.211, 0.177
134, 0.911, 0.811, 0.213, 0.468
135, 0.907, 0.936, 0.237, 0.185
136, 0.912, 0.938, 0.224, 0.187
137, 0.923, 0.939, 0.197, 0.179
138, 0.911, 0.935, 0.227, 0.192
139, 0.921, 0.931, 0.209, 0.199
140, 0.917, 0.939, 0.212, 0.174
141, 0.917, 0.939, 0.213, 0.191
142, 0.913, 0.943, 0.225, 0.174
143, 0.915, 0.946, 0.208, 0.166
144, 0.926, 0.936, 0.195, 0.199
145, 0.915, 0.940, 0.218, 0.180
146, 0.915, 0.941, 0.222, 0.175
147, 0.911, 0.935, 0.220, 0.198
148, 0.917, 0.943, 0.216, 0.169
149, 0.917, 0.936, 0.218, 0.175
150, 0.925, 0.931, 0.202, 0.207
151, 0.923, 0.942, 0.207, 0.176
152, 0.910, 0.939, 0.223, 0.184
153, 0.920, 0.946, 0.210, 0.170
154, 0.919, 0.935, 0.215, 0.185
155, 0.922, 0.934, 0.205, 0.205
156, 0.915, 0.936, 0.220, 0.186
157, 0.911, 0.944, 0.223, 0.188
158, 0.915, 0.927, 0.220, 0.226
159, 0.917, 0.942, 0.219, 0.176
160, 0.917, 0.934, 0.208, 0.201
161, 0.921, 0.941, 0.205, 0.180
162, 0.916, 0.948, 0.216, 0.171
163, 0.924, 0.944, 0.206, 0.172
164, 0.923, 0.936, 0.204, 0.179
165, 0.912, 0.928, 0.219, 0.217
166, 0.924, 0.946, 0.197, 0.173
167, 0.921, 0.940, 0.214, 0.180
168, 0.917, 0.930, 0.209, 0.202
169, 0.923, 0.946, 0.202, 0.161
